origin_city;destination_city
Vilnius,VNO;Beauvais,BVA
Warsaw,WMI;Beauvais,BVA
Wroclaw,WRO;Beauvais,BVA
Birmingham,BHX;Bydgoszcz,BZG
Dublin,DUB;Bydgoszcz,BZG
London,LTN;Bydgoszcz,BZG
London,STN;Bydgoszcz,BZG
Beauvais,BVA;Beziers,BZR
London,LTN;Beziers,BZR
Bergamo,BGY;Cagliari,CAG
Bologna,BLQ;Cagliari,CAG
Bari,BRI;Cagliari,CAG
Beauvais,BVA;Cagliari,CAG
Rome,CIA;Cagliari,CAG
Charleroi,CRL;Cagliari,CAG
Catania,CTA;Cagliari,CAG
Cuneo,CUF;Cagliari,CAG
Gerona,GRO;Cagliari,CAG
Hahn,HHN;Cagliari,CAG
Krakow,KRK;Cagliari,CAG
Madrid,MAD;Cagliari,CAG
Parma,PMF;Cagliari,CAG
Pisa,PSA;Cagliari,CAG
London,STN;Cagliari,CAG
Trapani,TPS;Cagliari,CAG
Treviso,TSF;Cagliari,CAG
Villafranca,VRN;Cagliari,CAG
Charleroi,CRL;Carcassonne,CCF
Dublin,DUB;Carcassonne,CCF
Edinburgh,EDI;Carcassonne,CCF
Manchester,MAN;Carcassonne,CCF
Porto,OPO;Carcassonne,CCF
London,STN;Carcassonne,CCF
Poznan,POZ;Castellón de la Plana,CDT
London,STN;Castellón de la Plana,CDT
Porto,OPO;Clermont-Ferrand,CFE
Malaga,AGP;Cologne,CGN
Alicante,ALC;Cologne,CGN
Barcelona,BCN;Cologne,CGN
Bergamo,BGY;Cologne,CGN
Bologna,BLQ;Cologne,CGN
Bristol,BRS;Cologne,CGN
Rome,CIA;Cologne,CGN
Copenhagen,CPH;Cologne,CGN
Dublin,DUB;Cologne,CGN
Gran Canaria,LPA;Cologne,CGN
Madrid,MAD;Cologne,CGN
Manchester,MAN;Cologne,CGN
Malta,MLA;Cologne,CGN
Porto,OPO;Cologne,CGN
Palma de Mallorca,PMI;Cologne,CGN
Marrakech,RAK;Cologne,CGN
Riga,RIX;Cologne,CGN
Sofia,SOF;Cologne,CGN
London,STN;Cologne,CGN
Sevilla,SVQ;Cologne,CGN
Tenerife,TFS;Cologne,CGN
Treviso,TSF;Cologne,CGN
Vitoria,VIT;Cologne,CGN
Valencia,VLC;Cologne,CGN
Vilnius,VNO;Cologne,CGN
Warsaw,WMI;Cologne,CGN
Athens,ATH;Rome,CIA
Bordeaux,BOD;Rome,CIA
Bratislava,BTS;Rome,CIA
Budapest,BUD;Rome,CIA
Beauvais,BVA;Rome,CIA
Cagliari,CAG;Rome,CIA
Cologne,CGN;Rome,CIA
Comiso,CIY;Rome,CIA
Copenhagen,CPH;Rome,CIA
Charleroi,CRL;Rome,CIA
Dublin,DUB;Rome,CIA
Edinburgh,EDI;Rome,CIA
Eindhoven,EIN;Rome,CIA
Hahn,HHN;Rome,CIA
Krakow,KRK;Rome,CIA
Lisbon,LIS;Rome,CIA
Madrid,MAD;Rome,CIA
Manchester,MAN;Rome,CIA
Malta,MLA;Rome,CIA
Marseille,MRS;Rome,CIA
Nuernberg,NUE;Rome,CIA
Porto,OPO;Rome,CIA
Bucharest,OTP;Rome,CIA
Prague,PRG;Rome,CIA
Marrakech,RAK;Rome,CIA
Rabat,RBA;Rome,CIA
Santander,SDR;Rome,CIA
Thessaloniki,SKG;Rome,CIA
Sofia,SOF;Rome,CIA
London,STN;Rome,CIA
Sevilla,SVQ;Rome,CIA
Berlin,SXF;Rome,CIA
Ronchi De Legionari,TRS;Rome,CIA
Valencia,VLC;Rome,CIA
Vilnius,VNO;Rome,CIA
Warsaw,WMI;Rome,CIA
Wroclaw,WRO;Rome,CIA
Rome,CIA;Comiso,CIY
Charleroi,CRL;Comiso,CIY
Hahn,HHN;Comiso,CIY
Milano,MXP;Comiso,CIY
Pisa,PSA;Comiso,CIY
Malaga,AGP;Copenhagen,CPH
Alicante,ALC;Copenhagen,CPH
Bergamo,BGY;Copenhagen,CPH
Bologna,BLQ;Copenhagen,CPH
Budapest,BUD;Copenhagen,CPH
Cologne,CGN;Copenhagen,CPH
Rome,CIA;Copenhagen,CPH
Charleroi,CRL;Copenhagen,CPH
Dublin,DUB;Copenhagen,CPH
Edinburgh,EDI;Copenhagen,CPH
Kaunas,KUN;Copenhagen,CPH
London,LTN;Copenhagen,CPH
Madrid,MAD;Copenhagen,CPH
London,STN;Copenhagen,CPH
Tenerife,TFS;Copenhagen,CPH
Valencia,VLC;Craiova,CRA
Arrecife,ACE;Charleroi,CRL
Agadir,AGA;Charleroi,CRL
Malaga,AGP;Charleroi,CRL
Alicante,ALC;Charleroi,CRL
Ancona,AOI;Charleroi,CRL
Athens,ATH;Charleroi,CRL
Barcelona,BCN;Charleroi,CRL
Brindisi,BDS;Charleroi,CRL
Bergamo,BGY;Charleroi,CRL
Biarritz-bayonne,BIQ;Charleroi,CRL
Bologna,BLQ;Charleroi,CRL
Bordeaux,BOD;Charleroi,CRL
Bari,BRI;Charleroi,CRL
Bratislava,BTS;Charleroi,CRL
Budapest,BUD;Charleroi,CRL
Cagliari,CAG;Charleroi,CRL
Carcassonne,CCF;Charleroi,CRL
Rome,CIA;Charleroi,CRL
Comiso,CIY;Charleroi,CRL
Copenhagen,CPH;Charleroi,CRL
Dublin,DUB;Charleroi,CRL
Edinburgh,EDI;Charleroi,CRL
Faro,FAO;Charleroi,CRL
Fes,FEZ;Charleroi,CRL
Nimes,FNI;Charleroi,CRL
Fuerteventura,FUE;Charleroi,CRL
Glasgow,GLA;Charleroi,CRL
Krakow,KRK;Charleroi,CRL
Lisbon,LIS;Charleroi,CRL
Gran Canaria,LPA;Charleroi,CRL
Madrid,MAD;Charleroi,CRL
Manchester,MAN;Charleroi,CRL
Montpellier,MPL;Charleroi,CRL
Marseille,MRS;Charleroi,CRL
Naples,NAP;Charleroi,CRL
El Aroui,NDR;Charleroi,CRL
Stockholm,NYO;Charleroi,CRL
Porto,OPO;Charleroi,CRL
Bucharest,OTP;Charleroi,CRL
Oujda,OUD;Charleroi,CRL
Plovdiv,PDV;Charleroi,CRL
Perpignan,PGF;Charleroi,CRL
Palma de Mallorca,PMI;Charleroi,CRL
Prague,PRG;Charleroi,CRL
Pisa,PSA;Charleroi,CRL
Pescara,PSR;Charleroi,CRL
Marrakech,RAK;Charleroi,CRL
Rabat,RBA;Charleroi,CRL
Riga,RIX;Charleroi,CRL
Santander,SDR;Charleroi,CRL
Thessaloniki,SKG;Charleroi,CRL
Sofia,SOF;Charleroi,CRL
Lamezia,SUF;Charleroi,CRL
Sevilla,SVQ;Charleroi,CRL
Tenerife,TFS;Charleroi,CRL
Podgorica,TGD;Charleroi,CRL
Toulouse,TLS;Charleroi,CRL
Tanger,TNG;Charleroi,CRL
Trapani,TPS;Charleroi,CRL
Torino,TRN;Charleroi,CRL
Treviso,TSF;Charleroi,CRL
Timisoara,TSR;Charleroi,CRL
Varna,VAR;Charleroi,CRL
Ovda,VDA;Charleroi,CRL
Valencia,VLC;Charleroi,CRL
